epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1503.63,1.35958,1.12355,1.24164,0.61512,0.58872,0.58904,0.32617,1.14479,1.59605,1.03179,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1549.32,1.36987,1.11927,1.23979,0.63787,0.58422,0.6122,0.35493,1.11741,2.46411,1.0289,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1594.06,1.34608,1.10548,1.23206,0.61506,0.61913,0.63109,0.36774,1.09477,1.92001,1.00197,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1639.81,1.33005,1.09009,1.22048,0.64235,0.59321,0.62834,0.36491,1.08989,3.64425,0.99359,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1684.38,1.35251,1.09971,1.23036,0.66852,0.59202,0.62864,0.36139,1.10056,2.82194,1.00142,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1738.14,1.30584,1.06798,1.20655,0.61705,0.61743,0.64386,0.37637,1.11186,2.20368,1.01527,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1782.28,1.32313,1.06428,1.2129,0.66228,0.58333,0.62941,0.37282,1.09208,3.03812,1.00034,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1827.16,1.30839,1.0589,1.20599,0.67926,0.62134,0.66002,0.38326,1.0775,1.98874,0.99145,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1872.22,1.30015,1.05384,1.19749,0.71328,0.56993,0.64382,0.37819,1.07836,1.618,0.99407,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1916.42,1.30256,1.06587,1.20712,0.6671,0.59735,0.64275,0.36594,1.07302,2.06603,0.9948,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,1961.17,1.27028,1.04136,1.18844,0.67297,0.57252,0.63484,0.37034,1.07572,1.66422,0.98644,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
